city,name,team_abbr,conf,division,team_lat,team_lng
Glendale,Arizona Cardinals,ARI,NFC,WEST,33.4265,-111.9326
Atlanta,Atlanta Falcons,ATL,NFC,SOUTH,33.7577,-84.4008
Baltimore,Baltimore Ravens,BAL,AFC,CENTRAL,39.278,-76.6227
Orchard Park,Buffalo Bills,BUF,AFC,EAST,42.7738,-78.787
Charlotte,Carolina Panthers,CAR,NFC,SOUTH,35.2258,-80.853
Chicago,Chicago Bears,CHI,NFC,CENTRAL,41.8623,-87.6167
Cincinnati,Cincinnati Bengals,CIN,AFC,CENTRAL,39.0955,-84.5161
Cleveland,Cleveland Browns,CLE,AFC,CENTRAL,41.5061,-81.6995
Irving,Dallas Cowboys,DAL,NFC,EAST,32.8372,-96.9065
Denver,Denver Broncos,DEN,AFC,WEST,39.7439,-105.0201
Detroit,Detroit Lions,DET,NFC,CENTRAL,42.6408,-83.253
Green Bay,Green Bay Packers,GB,NFC,CENTRAL,44.501,-88.062
Houston,Houston Texans,HOU,AFC,SOUTH,29.6847,-95.4107
Indianapolis,Indianapolis Colts,IND,AFC,SOUTH,39.7648,-86.1677
Jacksonville,Jacksonville Jaguars,JAX,AFC,SOUTH,30.3239,-81.6373
Kansas City,Kansas City Chiefs,KC,AFC,WEST,39.0489,-94.4839
Oakland,Oakland Raiders,OAK,AFC,WEST,37.751637,-122.201553
San Diego,San Diego Chargers,SDG,AFC,WEST,32.7831,-117.1196
St Louis,St Louis Rams,STL,NFC,WEST,38.6328,-90.1885
Miami Gardens,Miami Dolphins,AFC,MIA,EAST,25.9583,-80.2396
Minneapolis,Minnesota Vikings,MIN,NFC,CENTRAL,44.9709,-93.2548 
New England,New England Patriots,NE,AFC,EAST,42.0909,-71.2643
New Orleans,New Orleans Saints,NO,NFC,SOUTH,29.9511,-90.0812
East Rutherford,New York Giants,NYG,NFC,EAST,40.8128,-74.0742
East Rutherford,New York Jets,NYJ,AFC,EAST,40.8128,-74.0742
Philadelphia,Philadelphia Eagles,PHI,NFC,EAST,39.901,-75.167
Pittsburgh,Pittsburgh Steelers,PIT,AFC,CENTRAL,40.4468,-80.0158
San Francisco,San Francisco 49ers,SF,NFC,WEST,37.708163834,-122.38499846
Seattle,Seattle Seahawks,SEA,NFC,WEST,47.590664304,-122.326498694
Tampa Bay,Tampa Bay Buccaneers,TB,NFC,SOUTH,27.975,-82.503
Nashville,Tennessee Titans,TEN,AFC,SOUTH,36.1665,-86.7713
Washington,Washington Football Team,WAS,NFC,EAST,38.8895,-76.9723
